date,rainfall_mm
2025-08-22,29.1
2025-08-23,14.6
2025-08-24,28.6
2025-08-25,7.8
2025-08-26,1.7
2025-08-27,1.2
2025-08-28,4.9
2025-08-29,6.7
2025-08-30,9.7
2025-08-31,1.3
2025-09-01,7.1
2025-09-02,23.6
2025-09-03,22.6
2025-09-04,42.0
2025-09-05,2.6
2025-09-06,6.1
2025-09-07,7.9
2025-09-08,5.8
2025-09-09,1.6
2025-09-10,1.5
2025-09-11,12.3
2025-09-12,26.6
2025-09-13,2.8
2025-09-14,17.9
2025-09-15,12.3
2025-09-16,19.5
2025-09-17,1.2
2025-09-18,1.4
2025-09-19,1.2
2025-09-20,1.4
2025-09-21,0.6
2025-09-22,0.0
2025-09-23,5.6
2025-09-24,32.6
2025-09-25,0.5
2025-09-26,13.5
2025-09-27,20.0
2025-09-28,3.5
2025-09-29,0.7
2025-09-30,2.3
2025-10-01,10.4
2025-10-02,22.4
2025-10-03,43.1
2025-10-04,14.3
2025-10-05,3.2
2025-10-06,5.8
2025-10-07,2.8
2025-10-08,6.0
2025-10-09,0.4
2025-10-10,4.7
2025-10-11,2.9
2025-10-12,0.1
2025-10-13,1.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-18,0.0
2025-10-19,0.1
2025-10-20,0.9
2025-10-21,0.0
2025-10-22,0.0
2025-10-23,0.0
2025-10-24,0.0
2025-10-25,15.1
2025-10-26,1.3
2025-10-27,0.8
2025-10-28,0.5
2025-10-29,12.1
2025-10-30,30.1
2025-10-31,6.7
2025-11-01,0.0
2025-11-02,0.0
2025-11-03,0.0
2025-11-04,0.0
2025-11-05,0.0
2025-11-06,0.0
2025-11-07,0.0
2025-11-08,0.0
2025-11-09,0.0
2025-11-10,0.0
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,0.0
2025-11-14,0.0
2025-11-15,0.0
2025-11-16,0.0
2025-11-17,0.0
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,0.0
2025-11-22,0.0
2025-11-23,0.0
