date,zone_id,VV_mean,VH_mean
2025-08-22,zone_01,-6.8768,-15.1876
2025-08-22,zone_02,-8.0373,-16.7213
2025-08-22,zone_03,-8.1032,-16.3618
2025-08-22,zone_04,-7.9193,-14.1919
2025-08-22,zone_05,-9.7603,-18.4003
2025-08-22,zone_06,-8.4976,-16.8857
2025-08-22,zone_07,-11.0415,-19.8941
2025-08-22,zone_08,-7.8219,-15.6239
2025-08-22,zone_09,-9.3263,-17.5173
2025-08-22,zone_10,-9.124,-17.9534
2025-08-22,zone_11,-10.0538,-18.0984
2025-08-22,zone_12,-9.6651,-18.8324
2025-08-22,zone_13,-8.3349,-16.9339
2025-08-22,zone_14,-10.1041,-18.66
2025-08-22,zone_15,-10.5431,-18.9485
2025-08-22,zone_16,-12.6379,-19.7946
2025-09-03,zone_01,-6.6861,-14.8815
2025-09-03,zone_02,-7.9936,-16.5263
2025-09-03,zone_03,-8.8076,-16.4849
2025-09-03,zone_04,-7.9396,-13.9269
2025-09-03,zone_05,-9.62,-18.1147
2025-09-03,zone_06,-8.2552,-16.4629
2025-09-03,zone_07,-11.0047,-19.692
2025-09-03,zone_08,-7.936,-15.2314
2025-09-03,zone_09,-8.8457,-17.2304
2025-09-03,zone_10,-9.0538,-17.489
2025-09-03,zone_11,-9.8292,-18.0392
2025-09-03,zone_12,-9.8495,-18.7797
2025-09-03,zone_13,-8.3903,-16.8592
2025-09-03,zone_14,-9.9555,-18.287
2025-09-03,zone_15,-10.5276,-18.6247
2025-09-03,zone_16,-12.3537,-19.6049
2025-09-15,zone_01,-7.7144,-15.7628
2025-09-15,zone_02,-8.7093,-17.4765
2025-09-15,zone_03,-9.4542,-17.6019
2025-09-15,zone_04,-8.4597,-14.8505
2025-09-15,zone_05,-10.9504,-19.8052
2025-09-15,zone_06,-9.4579,-17.7322
2025-09-15,zone_07,-11.739,-20.3276
2025-09-15,zone_08,-8.6786,-16.2097
2025-09-15,zone_09,-10.3233,-19.1072
2025-09-15,zone_10,-10.2692,-18.6278
2025-09-15,zone_11,-10.7535,-18.9755
2025-09-15,zone_12,-10.7273,-20.0406
2025-09-15,zone_13,-9.5518,-18.1
2025-09-15,zone_14,-10.9903,-19.4499
2025-09-15,zone_15,-11.0912,-19.6845
2025-09-15,zone_16,-12.9746,-20.5681
2025-09-27,zone_01,-6.6584,-14.8086
2025-09-27,zone_02,-7.5678,-16.2409
2025-09-27,zone_03,-8.3223,-16.4379
2025-09-27,zone_04,-7.6146,-13.4741
2025-09-27,zone_05,-9.9243,-18.0653
2025-09-27,zone_06,-8.3732,-16.3058
2025-09-27,zone_07,-10.2942,-18.7516
2025-09-27,zone_08,-7.5371,-14.85
2025-09-27,zone_09,-8.8891,-16.9777
2025-09-27,zone_10,-9.0969,-17.1903
2025-09-27,zone_11,-9.7577,-16.98
2025-09-27,zone_12,-9.5038,-18.0979
2025-09-27,zone_13,-8.4686,-16.7008
2025-09-27,zone_14,-9.9418,-17.9111
2025-09-27,zone_15,-10.5194,-18.3945
2025-09-27,zone_16,-12.429,-19.5918
2025-10-09,zone_01,-7.7007,-15.5581
2025-10-09,zone_02,-8.5662,-17.0955
2025-10-09,zone_03,-8.4239,-16.5203
2025-10-09,zone_04,-8.3154,-14.2567
2025-10-09,zone_05,-10.6381,-19.0877
2025-10-09,zone_06,-9.3674,-17.4075
2025-10-09,zone_07,-11.3048,-19.6525
2025-10-09,zone_08,-8.5076,-15.9382
2025-10-09,zone_09,-10.142,-18.699
2025-10-09,zone_10,-10.0814,-18.3147
2025-10-09,zone_11,-10.8665,-18.9478
2025-10-09,zone_12,-10.3393,-19.5651
2025-10-09,zone_13,-9.4226,-17.9224
2025-10-09,zone_14,-10.6226,-19.0175
2025-10-09,zone_15,-11.0728,-19.2819
2025-10-09,zone_16,-13.0067,-20.3601
2025-10-21,zone_01,-8.7526,-16.5033
2025-10-21,zone_02,-9.8141,-18.1147
2025-10-21,zone_03,-9.4524,-17.7239
2025-10-21,zone_04,-8.4444,-14.7959
2025-10-21,zone_05,-12.2687,-21.0171
2025-10-21,zone_06,-10.826,-18.7764
2025-10-21,zone_07,-12.3969,-20.7911
2025-10-21,zone_08,-8.8826,-16.114
2025-10-21,zone_09,-11.7696,-20.6714
2025-10-21,zone_10,-11.4632,-19.6124
2025-10-21,zone_11,-11.5861,-19.8854
2025-10-21,zone_12,-11.3406,-20.9044
2025-10-21,zone_13,-11.1108,-19.3705
2025-10-21,zone_14,-11.6991,-20.4019
2025-10-21,zone_15,-12.0792,-20.6381
2025-10-21,zone_16,-13.5374,-21.0429
2025-11-02,zone_01,-8.5504,-16.3942
2025-11-02,zone_02,-9.4382,-17.8252
2025-11-02,zone_03,-9.1579,-17.6768
2025-11-02,zone_04,-8.4391,-14.5175
2025-11-02,zone_05,-12.3941,-20.9814
2025-11-02,zone_06,-10.7331,-18.8313
2025-11-02,zone_07,-12.4508,-20.8562
2025-11-02,zone_08,-9.0187,-15.9299
2025-11-02,zone_09,-11.4733,-20.3047
2025-11-02,zone_10,-11.4624,-19.6177
2025-11-02,zone_11,-11.921,-20.3041
2025-11-02,zone_12,-11.3582,-21.0715
2025-11-02,zone_13,-11.0681,-19.743
2025-11-02,zone_14,-11.6541,-20.3428
2025-11-02,zone_15,-12.1265,-20.6431
2025-11-02,zone_16,-13.6033,-21.0524
2025-11-14,zone_01,-8.9989,-16.7082
2025-11-14,zone_02,-10.4494,-18.8997
2025-11-14,zone_03,-9.7603,-18.7805
