sensor_id,zone_id,timestamp,displacement_mm_day,vibration,pore_pressure,strain,rainfall_mm,risk_level
SNS-zone_01-01,zone_01,2025-08-22T00:00:00Z,12.32,0.028,39.76,127.35,29.1,safe
SNS-zone_02-01,zone_02,2025-08-22T00:00:00Z,10.88,0.03,38.76,124.97,29.1,safe
SNS-zone_03-01,zone_03,2025-08-22T00:00:00Z,14.6,0.03,46.55,152.24,29.1,safe
SNS-zone_04-01,zone_04,2025-08-22T00:00:00Z,14.72,0.027,39.27,147.29,29.1,safe
SNS-zone_05-01,zone_05,2025-08-22T00:00:00Z,9.43,0.027,34.56,119.54,29.1,safe
SNS-zone_06-01,zone_06,2025-08-22T00:00:00Z,69.85,0.209,78.47,521.12,29.1,warning
SNS-zone_07-01,zone_07,2025-08-22T00:00:00Z,73.35,0.224,75.95,522.95,29.1,warning
SNS-zone_08-01,zone_08,2025-08-22T00:00:00Z,67.56,0.204,76.84,534.23,29.1,warning
SNS-zone_09-01,zone_09,2025-08-22T00:00:00Z,12.31,0.035,34.94,121.73,29.1,safe
SNS-zone_10-01,zone_10,2025-08-22T00:00:00Z,69.26,0.201,79.46,556.83,29.1,warning
SNS-zone_11-01,zone_11,2025-08-22T00:00:00Z,75.23,0.308,125.26,868.11,29.1,warning
SNS-zone_12-01,zone_12,2025-08-22T00:00:00Z,75.47,0.313,123.23,866.43,29.1,warning
SNS-zone_13-01,zone_13,2025-08-22T00:00:00Z,9.37,0.018,35.63,114.69,29.1,safe
SNS-zone_14-01,zone_14,2025-08-22T00:00:00Z,11.42,0.032,38.05,119.57,29.1,safe
SNS-zone_15-01,zone_15,2025-08-22T00:00:00Z,10.56,0.024,40.31,113.19,29.1,safe
SNS-zone_16-01,zone_16,2025-08-22T00:00:00Z,12.2,0.031,44.55,131.22,29.1,safe
SNS-zone_01-01,zone_01,2025-08-23T00:00:00Z,13.99,0.033,42.56,133.52,14.6,safe
SNS-zone_02-01,zone_02,2025-08-23T00:00:00Z,12.91,0.03,41.55,131.03,14.6,safe
SNS-zone_03-01,zone_03,2025-08-23T00:00:00Z,16.95,0.036,49.13,161.06,14.6,safe
SNS-zone_04-01,zone_04,2025-08-23T00:00:00Z,17.92,0.037,42.49,147.66,14.6,safe
SNS-zone_05-01,zone_05,2025-08-23T00:00:00Z,14.9,0.027,35.5,130.15,14.6,safe
SNS-zone_06-01,zone_06,2025-08-23T00:00:00Z,75.21,0.213,81.36,531.84,14.6,warning
SNS-zone_07-01,zone_07,2025-08-23T00:00:00Z,75.5,0.22,79.62,542.95,14.6,warning
SNS-zone_08-01,zone_08,2025-08-23T00:00:00Z,68.46,0.202,79.05,541.89,14.6,warning
SNS-zone_09-01,zone_09,2025-08-23T00:00:00Z,11.76,0.029,36.28,124.74,14.6,safe
SNS-zone_10-01,zone_10,2025-08-23T00:00:00Z,70.22,0.215,82.51,563.38,14.6,warning
SNS-zone_11-01,zone_11,2025-08-23T00:00:00Z,120.5,0.443,133.63,1094.74,14.6,evacuation
SNS-zone_12-01,zone_12,2025-08-23T00:00:00Z,120.5,0.431,130.69,1094.84,14.6,evacuation
SNS-zone_13-01,zone_13,2025-08-23T00:00:00Z,13.0,0.027,35.31,125.36,14.6,safe
SNS-zone_14-01,zone_14,2025-08-23T00:00:00Z,12.09,0.03,40.3,128.2,14.6,safe
SNS-zone_15-01,zone_15,2025-08-23T00:00:00Z,14.13,0.031,42.86,138.63,14.6,safe
SNS-zone_16-01,zone_16,2025-08-23T00:00:00Z,14.35,0.028,46.89,131.99,14.6,safe
SNS-zone_01-01,zone_01,2025-08-24T00:00:00Z,18.29,0.027,44.01,148.28,28.6,safe
SNS-zone_02-01,zone_02,2025-08-24T00:00:00Z,19.95,0.04,43.68,152.89,28.6,safe
SNS-zone_03-01,zone_03,2025-08-24T00:00:00Z,52.8,0.081,54.27,247.73,28.6,warning
