sensor_id,zone_id,timestamp,displacement_mm_day,vibration,pore_pressure,strain,rainfall_mm,risk_level
SNS-zone_01-01,zone_01,2025-08-22T00:00:00Z,14.26,0.026,43.37,132.64,29.1,safe
SNS-zone_02-01,zone_02,2025-08-22T00:00:00Z,21.21,0.027,34.23,135.2,29.1,safe
SNS-zone_03-01,zone_03,2025-08-22T00:00:00Z,14.22,0.025,38.38,117.01,29.1,safe
SNS-zone_04-01,zone_04,2025-08-22T00:00:00Z,20.9,0.03,42.37,136.07,29.1,safe
SNS-zone_05-01,zone_05,2025-08-22T00:00:00Z,15.07,0.025,45.94,133.38,29.1,safe
SNS-zone_06-01,zone_06,2025-08-22T00:00:00Z,76.55,0.176,68.13,457.14,29.1,warning
SNS-zone_07-01,zone_07,2025-08-22T00:00:00Z,63.54,0.155,74.6,464.74,29.1,warning
SNS-zone_08-01,zone_08,2025-08-22T00:00:00Z,63.44,0.139,79.45,466.21,29.1,warning
SNS-zone_09-01,zone_09,2025-08-22T00:00:00Z,9.11,0.021,33.1,104.06,29.1,safe
SNS-zone_10-01,zone_10,2025-08-22T00:00:00Z,62.8,0.141,79.47,446.56,29.1,warning
SNS-zone_11-01,zone_11,2025-08-22T00:00:00Z,131.2,0.408,116.3,1020.59,29.1,evacuation
SNS-zone_12-01,zone_12,2025-08-22T00:00:00Z,134.97,0.4,104.41,1011.46,29.1,evacuation
SNS-zone_13-01,zone_13,2025-08-22T00:00:00Z,7.93,0.018,43.53,112.52,29.1,safe
SNS-zone_14-01,zone_14,2025-08-22T00:00:00Z,15.52,0.025,41.02,134.63,29.1,safe
SNS-zone_15-01,zone_15,2025-08-22T00:00:00Z,10.33,0.02,44.97,113.94,29.1,safe
SNS-zone_16-01,zone_16,2025-08-22T00:00:00Z,13.82,0.023,36.75,122.24,29.1,safe
SNS-zone_01-01,zone_01,2025-08-23T00:00:00Z,17.35,0.024,44.83,130.69,14.6,safe
SNS-zone_02-01,zone_02,2025-08-23T00:00:00Z,21.33,0.036,35.0,130.67,14.6,safe
SNS-zone_03-01,zone_03,2025-08-23T00:00:00Z,16.66,0.024,36.87,125.57,14.6,safe
SNS-zone_04-01,zone_04,2025-08-23T00:00:00Z,22.42,0.029,46.98,148.84,14.6,safe
SNS-zone_05-01,zone_05,2025-08-23T00:00:00Z,17.18,0.025,48.35,138.4,14.6,safe
SNS-zone_06-01,zone_06,2025-08-23T00:00:00Z,70.8,0.167,72.47,474.92,14.6,warning
