zone_id,date,slope,aspect,curvature,vv_backscatter,vh_backscatter,rainfall_mm
zone_01,2025-08-22,4.805,111.1703,0.047333,-6.8768,-15.1876,29.1
zone_02,2025-08-22,5.3165,195.2216,0.02904,-8.0373,-16.7213,29.1
zone_03,2025-08-22,10.2624,195.2096,-0.046989,-8.1032,-16.3618,29.1
zone_04,2025-08-22,10.7567,15.7899,0.000708,-7.9193,-14.1919,29.1
zone_05,2025-08-22,0.8126,146.9745,0.007313,-9.7603,-18.4003,29.1
zone_06,2025-08-22,11.1678,165.702,-0.030888,-8.4976,-16.8857,29.1
zone_07,2025-08-22,11.5147,169.6676,-0.005945,-11.0415,-19.8941,29.1
zone_08,2025-08-22,14.8115,203.6419,-0.03519,-7.8219,-15.6239,29.1
zone_09,2025-08-22,3.128,105.5919,0.0005,-9.3263,-17.5173,29.1
zone_10,2025-08-22,12.0184,229.9116,-0.03979,-9.124,-17.9534,29.1
zone_11,2025-08-22,16.242,337.329,-0.00185,-10.0538,-18.0984,29.1
zone_12,2025-08-22,12.406,314.2971,-0.067788,-9.6651,-18.8324,29.1
zone_13,2025-08-22,1.2123,82.5197,-0.004406,-8.3349,-16.9339,29.1
zone_14,2025-08-22,5.6308,229.9163,0.01853,-10.1041,-18.66,29.1
zone_15,2025-08-22,3.3809,260.4495,-0.012809,-10.5431,-18.9485,29.1
zone_16,2025-08-22,1.1964,158.6191,0.009475,-12.6379,-19.7946,29.1
zone_01,2025-09-03,4.805,111.1703,0.047333,-6.6861,-14.8815,22.6
zone_02,2025-09-03,5.3165,195.2216,0.02904,-7.9936,-16.5263,22.6
zone_03,2025-09-03,10.2624,195.2096,-0.046989,-8.8076,-16.4849,22.6
zone_04,2025-09-03,10.7567,15.7899,0.000708,-7.9396,-13.9269,22.6
zone_05,2025-09-03,0.8126,146.9745,0.007313,-9.62,-18.1147,22.6
zone_06,2025-09-03,11.1678,165.702,-0.030888,-8.2552,-16.4629,22.6
zone_07,2025-09-03,11.5147,169.6676,-0.005945,-11.0047,-19.692,22.6
zone_08,2025-09-03,14.8115,203.6419,-0.03519,-7.936,-15.2314,22.6
zone_09,2025-09-03,3.128,105.5919,0.0005,-8.8457,-17.2304,22.6
zone_10,2025-09-03,12.0184,229.9116,-0.03979,-9.0538,-17.489,22.6
zone_11,2025-09-03,16.242,337.329,-0.00185,-9.8292,-18.0392,22.6
zone_12,2025-09-03,12.406,314.2971,-0.067788,-9.8495,-18.7797,22.6
zone_13,2025-09-03,1.2123,82.5197,-0.004406,-8.3903,-16.8592,22.6
zone_14,2025-09-03,5.6308,229.9163,0.01853,-9.9555,-18.287,22.6
zone_15,2025-09-03,3.3809,260.4495,-0.012809,-10.5276,-18.6247,22.6
zone_16,2025-09-03,1.1964,158.6191,0.009475,-12.3537,-19.6049,22.6
zone_01,2025-09-15,4.805,111.1703,0.047333,-7.7144,-15.7628,12.3
zone_02,2025-09-15,5.3165,195.2216,0.02904,-8.7093,-17.4765,12.3
zone_03,2025-09-15,10.2624,195.2096,-0.046989,-9.4542,-17.6019,12.3
zone_04,2025-09-15,10.7567,15.7899,0.000708,-8.4597,-14.8505,12.3
zone_05,2025-09-15,0.8126,146.9745,0.007313,-10.9504,-19.8052,12.3
zone_06,2025-09-15,11.1678,165.702,-0.030888,-9.4579,-17.7322,12.3
zone_07,2025-09-15,11.5147,169.6676,-0.005945,-11.739,-20.3276,12.3
